epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
81,2019.18,0.99191,2.46106,1.46929,1.35622,0,0.598,0.43503,0.45993,0.21248,0.54064,0.44633,0.41837,0.17684,1.69685,3.48605,2.1288,1.84406,0,0.000416,0.000416,0.000416
82,2043.89,0.98012,2.45688,1.45407,1.33764,0,0.58947,0.45763,0.49096,0.23146,0.56688,0.44633,0.46961,0.20164,1.63778,3.40511,2.03882,1.82666,0,0.0003962,0.0003962,0.0003962
83,2068.34,0.96982,2.46746,1.40051,1.33133,0,0.51962,0.46893,0.466,0.21649,0.52453,0.44068,0.42028,0.17844,1.69214,3.60643,2.07351,1.8497,0,0.0003764,0.0003764,0.0003764
84,2092.72,0.96762,2.47941,1.40043,1.33671,0,0.54592,0.43503,0.48013,0.2411,0.51047,0.40678,0.43131,0.19927,1.67277,3.39917,2.01346,1.82841,0,0.0003566,0.0003566,0.0003566
85,2117.02,0.95795,2.43217,1.38853,1.32996,0,0.53758,0.49261,0.47168,0.23499,0.50226,0.4618,0.42583,0.1869,1.69722,3.66195,2.03996,1.84323,0,0.0003368,0.0003368,0.0003368
86,2141.19,0.96154,2.41457,1.40465,1.33228,0,0.54429,0.44068,0.45365,0.23309,0.52201,0.41243,0.40922,0.18595,1.61566,3.51742,2.1259,1.75624,0,0.000317,0.000317,0.000317
87,2165.53,0.94026,2.38373,1.39772,1.32936,0,0.44303,0.50282,0.45197,0.22265,0.42455,0.47458,0.42565,0.1862,1.61845,3.48261,2.14066,1.76288,0,0.0002972,0.0002972,0.0002972
88,2189.94,0.95509,2.41357,1.37482,1.3237,0,0.45766,0.47458,0.44816,0.22888,0.38428,0.47458,0.40074,0.18743,1.56624,3.30877,2.13571,1.74105,0,0.0002774,0.0002774,0.0002774
89,2214.5,0.94782,2.38873,1.35101,1.31696,0,0.55101,0.45762,0.47392,0.23868,0.53811,0.42938,0.42877,0.19873,1.54816,3.40065,2.13237,1.72233,0,0.0002576,0.0002576,0.0002576
90,2239.15,0.94095,2.36211,1.38714,1.32483,0,0.51333,0.45198,0.4711,0.20961,0.4873,0.42938,0.41709,0.17754,1.62568,3.44559,2.17271,1.76299,0,0.0002378,0.0002378,0.0002378
